uri:/instrument/1.0/TSLA/chartdata;type=quote;range=1d/csv
ticker:tsla
Company-Name:Tesla, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:304.0000
Timestamp:1492435800,1492459200
labels:1492437600,1492441200,1492444800,1492448400,1492452000,1492455600,1492459200
values:Timestamp,close,high,low,open,volume
close:298.9300,303.3600
high:299.4800,304.0000
low:298.6800,303.1000
open:298.9367,303.4850
volume:0,3867200
1492457104,301.8220,302.0000,301.7710,301.9800,12400
1492457167,301.8600,301.8700,301.6300,301.7800,7200
1492457226,301.7700,301.9000,301.7500,301.8600,8300
1492457291,301.9100,302.0000,301.7650,301.8500,6100
1492457340,301.8594,301.9500,301.8300,301.8300,5800
1492457413,301.9000,301.9200,301.8200,301.8800,4100
1492457518,301.7750,301.9000,301.7500,301.8844,7800
1492457523,301.6235,301.7700,301.6000,301.7700,6300
1492457586,301.4000,301.5900,301.4000,301.5900,9100
1492457642,301.4000,301.5499,301.3200,301.5499,6000
1492457708,301.4950,301.5100,301.3500,301.4100,7600
1492457763,301.5800,301.5800,301.4200,301.4611,5600
1492457878,301.5000,301.6398,301.4700,301.6200,4300
1492457884,301.4700,301.6300,301.4700,301.6000,4400
1492457945,301.4800,301.5300,301.4400,301.4500,3600
1492458001,301.4300,301.5140,301.4300,301.4600,5500
1492458070,301.4700,301.5300,301.4000,301.4000,8800
1492458124,301.4600,301.5200,301.4200,301.4878,4500
1492458239,301.1700,301.5200,301.1500,301.4800,11400
1492458242,301.3000,301.3400,301.1700,301.3083,5900
1492458301,301.3200,301.3800,301.2400,301.2900,0
1492458365,301.4200,301.4700,301.3200,301.3200,14700
1492458420,301.4600,301.5299,301.4200,301.4200,11600
1492458486,301.3101,301.4690,301.2900,301.4500,14200
1492458596,301.4616,301.5200,301.3300,301.3300,6800
1492458600,301.6600,301.7799,301.5200,301.5200,16800
1492458661,301.8000,301.9200,301.6500,301.6800,24600
1492458720,301.4700,301.7248,301.4700,301.7152,17100
1492458786,301.3000,301.5300,301.3000,301.5200,19900
1492458847,301.2600,301.3800,301.1800,301.3700,10300
1492458900,301.1300,301.3000,301.1300,301.3000,26900
1492458969,301.0083,301.1699,300.9100,301.1442,21400
1492459020,301.1250,301.1250,300.9900,301.0200,33000
1492459138,301.0501,301.1100,301.0200,301.1000,34100
1492459144,301.3400,301.3650,301.0000,301.1200,3867200
1492459200,301.4400,301.4400,301.4400,301.4400,4000
